singular,plural
UW0 B IH1 CH,UW0 B IH1 CH W AH0
L AH0 D AH1 F,L AH0 D AH1 F L EY0
CH OW0 M UW1 T,CH OW0 M UW1 T L EY0
M OW1 F,M OW1 F L EY0
EY0 P UH1 T,EY0 P UH1 T L EY0
V UH1 K,V UH1 K L EY0
JH IY0 B IY1 T,JH IY0 B IY1 T L EY0
F EH0 N OW1 N,F EH0 N OW1 N Y IY0
UW0 B IH1 M,UW0 B IH1 M Y IY0
T EH0 F IH1 Z,T EH0 F IH1 Z W AH0
M EY1 V,M EY1 V Y IY0
EH0 SH EH1 G,EH0 SH EH1 G Y IY0
UH0 SH EY1 S,UH0 SH EY1 S W AH0
EY0 M EY1 P,EY0 M EY1 P L EY0
S AH0 JH OW1 ZH,S AH0 JH OW1 ZH W AH0
Z EY0 Z IY1,Z EY0 Z IY1 Y IY0
EH0 JH OW1 T,EH0 JH OW1 T L EY0
CH UW0 SH OW1 K,CH UW0 SH OW1 K L EY0
V IH0 Z EH1 T,V IH0 Z EH1 T L EY0
V EH1 G,V EH1 G Y IY0
Z OW1 G,Z OW1 G Y IY0
K UH0 S EH1 JH,K UH0 S EH1 JH W AH0
UH0 L AH1 B,UH0 L AH1 B Y IY0
UH0 K AH1 B,UH0 K AH1 B Y IY0
EH0 P AH1 P,EH0 P AH1 P L EY0
S UW0 M IY1 F,S UW0 M IY1 F L EY0
M IY0 D IY1 P,M IY0 D IY1 P L EY0
UW0 D EY1 T,UW0 D EY1 T L EY0
V UW1 Z,V UW1 Z W AH0
V UW1 N,V UW1 N Y IY0
M OW1 S,M OW1 S W AH0
EH0 JH OW1 F,EH0 JH OW1 F L EY0
V EY1 K,V EY1 K L EY0
L EH0 P UW1 F,L EH0 P UW1 F L EY0
K EH1 D,K EH1 D Y IY0
T AH0 V AH1 F,T AH0 V AH1 F L EY0
UW0 N IY1 M,UW0 N IY1 M Y IY0
SH UW1 N,SH UW1 N Y IY0
F UH1 K,F UH1 K L EY0
UW0 F EY1 G,UW0 F EY1 G Y IY0
L UH1 T,L UH1 T L EY0
F EH0 T OW1 F,F EH0 T OW1 F L EY0
UH0 K EY1 P,UH0 K EY1 P L EY0
UW0 P OW1 ZH,UW0 P OW1 ZH W AH0
P IY1 F,P IY1 F L EY0
G UH0 K UW1 K,G UH0 K UW1 K L EY0
M OW0 G IH1 V,M OW0 G IH1 V Y IY0
Z OW0 P OW1,Z OW0 P OW1 Y IY0
B IY0 S UW1,B IY0 S UW1 Y IY0
T EH0 V EY1 N,T EH0 V EY1 N Y IY0
V UW0 Z AH1 P,V UW0 Z AH1 P L EY0
EY0 M EY1 Z,EY0 M EY1 Z W AH0
T OW0 D OW1,T OW0 D OW1 Y IY0
P IY0 Z IH1 T,P IY0 Z IH1 T L EY0
UW0 D EH1 SH,UW0 D EH1 SH W AH0
T AH0 Z AH1 T,T AH0 Z AH1 T L EY0
F OW0 V EH1 D,F OW0 V EH1 D Y IY0
B EH0 K OW1,B EH0 K OW1 Y IY0
IY0 S EY1 ZH,IY0 S EY1 ZH W AH0
IH0 T AH1 SH,IH0 T AH1 SH W AH0
OW0 T IY1 S,OW0 T IY1 S W AH0
UH0 T IY1 P,UH0 T IY1 P L EY0
K AH0 P IH1 CH,K AH0 P IH1 CH W AH0
D IY0 SH IY1,D IY0 SH IY1 Y IY0
L IH1 G,L IH1 G Y IY0
G AH1 V,G AH1 V Y IY0
JH UW1 ZH,JH UW1 ZH W AH0
D UW0 N IY1 N,D UW0 N IY1 N Y IY0
EY0 G IY1 M,EY0 G IY1 M Y IY0
Z EY0 M IH1 G,Z EY0 M IH1 G Y IY0
F OW0 G UH1 SH,F OW0 G UH1 SH W AH0
B IH0 M IY1 F,B IH0 M IY1 F L EY0
B UW0 D IH1 P,B UW0 D IH1 P L EY0
OW0 N EY1 T,OW0 N EY1 T L EY0
V AH0 G EY1 JH,V AH0 G EY1 JH W AH0
M EY0 K AH1 T,M EY0 K AH1 T L EY0
UH0 D UW1 V,UH0 D UW1 V Y IY0
OW0 F OW1 G,OW0 F OW1 G Y IY0
V OW0 T OW1 P,V OW0 T OW1 P L EY0
F AH0 D IH1 T,F AH0 D IH1 T L EY0
CH EY0 N UW1 M,CH EY0 N UW1 M Y IY0
F AH0 SH IY1 N,F AH0 SH IY1 N Y IY0
EY0 B IH1 P,EY0 B IH1 P L EY0
IH0 Z AH1 T,IH0 Z AH1 T L EY0
OW0 B UW1 M,OW0 B UW1 M Y IY0
F EY0 SH EY1 M,F EY0 SH EY1 M Y IY0
F OW0 L IY1 JH,F OW0 L IY1 JH W AH0
P AH1 JH,P AH1 JH W AH0
P OW0 JH IY1 T,P OW0 JH IY1 T L EY0
OW0 L IY1 ZH,OW0 L IY1 ZH W AH0
JH IY1 F,JH IY1 F L EY0
Z EY0 P IY1,Z EY0 P IY1 Y IY0
IY0 L IH1 M,IY0 L IH1 M Y IY0
D IY1 T,D IY1 T L EY0
T EH1 P,T EH1 P L EY0
Z EY0 P EH1 T,Z EY0 P EH1 T L EY0
V UW0 D IH1 P,V UW0 D IH1 P L EY0
OW0 D EH1 Z,OW0 D EH1 Z W AH0
CH EH0 K UH1,CH EH0 K UH1 Y IY0
EY0 Z UW1 B,EY0 Z UW1 B Y IY0
F UW1 P,F UW1 P L EY0
V EH0 S UH1 T,V EH0 S UH1 T L EY0
G UW0 F IH1,G UW0 F IH1 Y IY0
Z OW1 F,Z OW1 F L EY0
Z EH0 B EH1,Z EH0 B EH1 Y IY0
P OW0 D EH1 CH,P OW0 D EH1 CH W AH0
UW0 M AH1 K,UW0 M AH1 K L EY0
T EY1 D,T EY1 D Y IY0
Z IH1 ZH,Z IH1 ZH W AH0
F UW0 L IH1 SH,F UW0 L IH1 SH W AH0
N UW1 F,N UW1 F L EY0
AH0 T EH1 ZH,AH0 T EH1 ZH W AH0
AH0 JH EY1 ZH,AH0 JH EY1 ZH W AH0
B UH0 SH AH1 F,B UH0 SH AH1 F L EY0
Z OW1 S,Z OW1 S W AH0
T EY1 M,T EY1 M Y IY0
UH0 SH UW1 S,UH0 SH UW1 S W AH0
P IH1 M,P IH1 M Y IY0
S UW1 ZH,S UW1 ZH W AH0
IH0 G UW1 F,IH0 G UW1 F L EY0
OW0 P IY1 K,OW0 P IY1 K L EY0
F OW0 T OW1 Z,F OW0 T OW1 Z W AH0
L AH0 JH EY1 ZH,L AH0 JH EY1 ZH W AH0
F IY1 CH,F IY1 CH W AH0
OW0 K EH1 S,OW0 K EH1 S W AH0
V IY0 B OW1 T,V IY0 B OW1 T L EY0
IH0 JH EH1 ZH,IH0 JH EH1 ZH W AH0
S UW0 L AH1,S UW0 L AH1 Y IY0
L EH0 P OW1 G,L EH0 P OW1 G Y IY0
UW0 JH IY1 T,UW0 JH IY1 T L EY0
M IY0 B IH1,M IY0 B IH1 Y IY0
V EH0 N EH1 NG,V EH0 N EH1 NG Y IY0
V AH0 S IH1 F,V AH0 S IH1 F L EY0
Z OW1 D,Z OW1 D Y IY0
P EH1 CH,P EH1 CH W AH0
S IH0 JH AH1 N,S IH0 JH AH1 N Y IY0
K AH0 T OW1,K AH0 T OW1 Y IY0
IY0 B EY1 P,IY0 B EY1 P L EY0
F OW0 N OW1 F,F OW0 N OW1 F L EY0
D UW0 Z UW1 F,D UW0 Z UW1 F L EY0
M UW0 B EY1 Z,M UW0 B EY1 Z W AH0
K IH1 B,K IH1 B Y IY0
JH AH1 F,JH AH1 F L EY0
N AH1 P,N AH1 P L EY0
UH0 T EY1 ZH,UH0 T EY1 ZH W AH0
S EH1 F,S EH1 F L EY0
JH IH0 L EY1 N,JH IH0 L EY1 N Y IY0
JH UW0 L UW1,JH UW0 L UW1 Y IY0
SH OW0 K EH1 Z,SH OW0 K EH1 Z W AH0
F EY0 K AH1,F EY0 K AH1 Y IY0
L UW0 T EH1 P,L UW0 T EH1 P L EY0
