Set,TestSet,Rep,Input,CorrOutput,PredOutput
equalFreq,test_Mutants,0,T IH0 S UW1 B,Y IY0,Y IY0
equalFreq,test_Mutants,0,G UH1 B,Y IY0,L EY0
equalFreq,test_Mutants,0,T IH1 K,L EY0,L EY0
equalFreq,test_Mutants,0,UW0 F EH1 CH,W AH0,W AH0
equalFreq,test_Mutants,0,SH UW1 CH,W AH0,W AH0
equalFreq,test_Mutants,0,L EH0 JH UW1 Z,W AH0,W AH0
equalFreq,test_Mutants,0,SH OW1 B,Y IY0,Y IY0
equalFreq,test_Mutants,0,S OW1 K,L EY0,L EY0
equalFreq,test_Mutants,0,UW0 Z AH1 SH,W AH0,W AH0
equalFreq,test_Mutants,0,EH0 L AH1 G,Y IY0,Y IY0
equalFreq,test_Mutants,0,K AH0 N IH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,0,UH0 T OW1 ZH,W AH0,W AH0
equalFreq,test_Mutants,0,D EH0 P UH1 JH,W AH0,W AH0
equalFreq,test_Mutants,0,V EY0 B IY1 B,Y IY0,Y IY0
equalFreq,test_Mutants,0,CH OW0 K EY1 F,L EY0,L EY0
equalFreq,test_Mutants,0,T IY1 F,L EY0,L EY0
equalFreq,test_Mutants,0,IH0 T AH1 N,Y IY0,Y IY0
equalFreq,test_Mutants,0,OW0 V UW1 G,Y IY0,Y IY0
equalFreq,test_Mutants,0,EY0 K IH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,0,F OW1 Z,W AH0,W AH0
equalFreq,test_Mutants,0,P IH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,0,EH0 T AH1 B,Y IY0,Y IY0
equalFreq,test_Mutants,0,L EH1 T,L EY0,L EY0
equalFreq,test_Mutants,0,UH0 SH AH1 V,Y IY0,W AH0
equalFreq,test_Mutants,0,T UW0 K F,L EY0,L EY0
equalFreq,test_Mutants,0,JH IH0 SH OW1 Z,W AH0,W AH0
equalFreq,test_Mutants,0,K AH1 F,L EY0,L EY0
equalFreq,test_Mutants,0,IY0 D OW1 F,L EY0,Y IY0
equalFreq,test_Mutants,0,M OW1 K,L EY0,L EY0
equalFreq,test_Mutants,0,G EH0 SH EH1 JH,W AH0,W AH0
equalFreq,test_Mutants,0,SH EY0 N ZH,W AH0,W AH0
equalFreq,test_Mutants,0,V UH0 D EH1 P,L EY0,L EY0
equalFreq,test_Mutants,0,V AH0 S IH1 G,Y IY0,Y IY0
equalFreq,test_Mutants,0,AH0 T EH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,0,SH OW1 S,W AH0,W AH0
equalFreq,test_Mutants,0,SH AH1 ZH,W AH0,W AH0
equalFreq,test_Mutants,0,EY0 B EY1 ZH,W AH0,W AH0
equalFreq,test_Mutants,0,UW0 N UH1 CH,W AH0,W AH0
equalFreq,test_Mutants,0,EH0 T IH1 F,L EY0,Y IY0
equalFreq,test_Mutants,0,S OW1 T,L EY0,L EY0
equalFreq,test_Mutants,0,M UW0 G IH1 F,L EY0,L EY0
equalFreq,test_Mutants,0,UH0 T IY1 D,Y IY0,L EY0
equalFreq,test_Mutants,0,V EH0 M EH1 N,Y IY0,Y IY0
equalFreq,test_Mutants,0,AH0 CH EH1 K,L EY0,Y IY0
equalFreq,test_Mutants,0,T EH0 P IH1 D,Y IY0,L EY0
equalFreq,test_Mutants,0,D EH1 P,L EY0,L EY0
equalFreq,test_Mutants,0,K AH0 Z IH1 F,L EY0,W AH0
equalFreq,test_Mutants,0,UH0 L IH1 S,W AH0,Y IY0
equalFreq,test_Mutants,0,UW0 G IY1 G,Y IY0,Y IY0
equalFreq,test_Mutants,0,EY0 Z IY1 N,Y IY0,Y IY0
equalFreq,test_Mutants,0,AH0 G EH1 S,W AH0,W AH0
equalFreq,test_Mutants,0,G EY1 CH,W AH0,W AH0
equalFreq,test_Mutants,0,S OW1 N,Y IY0,L EY0
equalFreq,test_Mutants,0,JH UW0 SH IH1 SH,W AH0,W AH0
equalFreq,test_Mutants,0,EY0 SH IH1 P,L EY0,Y IY0
equalFreq,test_Mutants,0,L OW1 Z,W AH0,W AH0
equalFreq,test_Mutants,0,IH0 JH OW1 D,Y IY0,Y IY0
equalFreq,test_Mutants,0,AH0 G AH1 CH,W AH0,W AH0
equalFreq,test_Mutants,0,F EH1 D,Y IY0,Y IY0
equalFreq,test_Mutants,0,K IY1 F,L EY0,L EY0
equalFreq,test_Mutants,0,P IY0 S EY1 T,L EY0,L EY0
equalFreq,test_Mutants,0,N IY1 JH,W AH0,W AH0
equalFreq,test_Mutants,0,V OW0 T OW1 CH,W AH0,W AH0
equalFreq,test_Mutants,0,P AH1 K,L EY0,L EY0
equalFreq,test_Mutants,0,IY0 V EY1 M,Y IY0,Y IY0
equalFreq,test_Mutants,0,JH IH0 M AH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,0,JH AH0 L IH1 F,L EY0,L EY0
equalFreq,test_Mutants,0,G EH0 K OW1 ZH,W AH0,W AH0
equalFreq,test_Mutants,0,T EY0 G EY1 V,Y IY0,Y IY0
equalFreq,test_Mutants,0,Z IY1 F,L EY0,Y IY0
equalFreq,test_Mutants,0,V IH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,0,T EH1 F,L EY0,L EY0
equalFreq,test_Mutants,0,IH0 G EY1 M,Y IY0,Y IY0
equalFreq,test_Mutants,0,AH0 T IH1 JH,W AH0,W AH0
equalFreq,test_Mutants,0,M EH0 K EY1 T,L EY0,L EY0
equalFreq,test_Mutants,0,P OW0 JH IY1 CH,W AH0,W AH0
equalFreq,test_Mutants,0,K UH1 JH,W AH0,W AH0
equalFreq,test_Mutants,0,M UW0 JH IY1 N,Y IY0,Y IY0
equalFreq,test_Mutants,0,N UW1 F,L EY0,L EY0
equalFreq,test_Mutants,0,B IY0 CH UW1 SH,W AH0,W AH0
equalFreq,test_Mutants,0,M EY1 K,L EY0,L EY0
equalFreq,test_Mutants,0,T UW0 N UW1 Z,W AH0,W AH0
equalFreq,test_Mutants,0,F EY0 K EY1 P,L EY0,L EY0
equalFreq,test_Mutants,0,IH0 S EY1 N,Y IY0,Y IY0
equalFreq,test_Mutants,0,IY0 K EY1 B,Y IY0,L EY0
equalFreq,test_Mutants,0,N EH1 CH,W AH0,W AH0
equalFreq,test_Mutants,0,L EY0 Z F,L EY0,W AH0
equalFreq,test_Mutants,0,CH UW0 P AH1 F,L EY0,L EY0
equalFreq,test_Mutants,0,G AH0 D EY1 Z,W AH0,W AH0
equalFreq,test_Mutants,0,Z IY1 K,L EY0,Y IY0
equalFreq,test_Mutants,1,T IH0 S UW1 B,Y IY0,L EY0
equalFreq,test_Mutants,1,G UH1 B,Y IY0,Y IY0
equalFreq,test_Mutants,1,T IH1 K,L EY0,L EY0
equalFreq,test_Mutants,1,UW0 F EH1 CH,W AH0,W AH0
equalFreq,test_Mutants,1,SH UW1 CH,W AH0,W AH0
equalFreq,test_Mutants,1,L EH0 JH UW1 Z,W AH0,W AH0
equalFreq,test_Mutants,1,SH OW1 B,Y IY0,Y IY0
equalFreq,test_Mutants,1,S OW1 K,L EY0,L EY0
equalFreq,test_Mutants,1,UW0 Z AH1 SH,W AH0,W AH0
equalFreq,test_Mutants,1,EH0 L AH1 G,Y IY0,Y IY0
equalFreq,test_Mutants,1,K AH0 N IH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,1,UH0 T OW1 ZH,W AH0,W AH0
equalFreq,test_Mutants,1,D EH0 P UH1 JH,W AH0,W AH0
equalFreq,test_Mutants,1,V EY0 B IY1 B,Y IY0,Y IY0
equalFreq,test_Mutants,1,CH OW0 K EY1 F,L EY0,L EY0
equalFreq,test_Mutants,1,T IY1 F,L EY0,L EY0
equalFreq,test_Mutants,1,IH0 T AH1 N,Y IY0,Y IY0
equalFreq,test_Mutants,1,OW0 V UW1 G,Y IY0,Y IY0
equalFreq,test_Mutants,1,EY0 K IH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,1,F OW1 Z,W AH0,Y IY0
equalFreq,test_Mutants,1,P IH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,1,EH0 T AH1 B,Y IY0,Y IY0
equalFreq,test_Mutants,1,L EH1 T,L EY0,L EY0
equalFreq,test_Mutants,1,UH0 SH AH1 V,Y IY0,W AH0
equalFreq,test_Mutants,1,T UW0 K F,L EY0,L EY0
equalFreq,test_Mutants,1,JH IH0 SH OW1 Z,W AH0,W AH0
equalFreq,test_Mutants,1,K AH1 F,L EY0,L EY0
equalFreq,test_Mutants,1,IY0 D OW1 F,L EY0,L EY0
equalFreq,test_Mutants,1,M OW1 K,L EY0,L EY0
equalFreq,test_Mutants,1,G EH0 SH EH1 JH,W AH0,W AH0
equalFreq,test_Mutants,1,SH EY0 N ZH,W AH0,W AH0
equalFreq,test_Mutants,1,V UH0 D EH1 P,L EY0,L EY0
equalFreq,test_Mutants,1,V AH0 S IH1 G,Y IY0,Y IY0
equalFreq,test_Mutants,1,AH0 T EH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,1,SH OW1 S,W AH0,W AH0
equalFreq,test_Mutants,1,SH AH1 ZH,W AH0,W AH0
equalFreq,test_Mutants,1,EY0 B EY1 ZH,W AH0,W AH0
equalFreq,test_Mutants,1,UW0 N UH1 CH,W AH0,W AH0
equalFreq,test_Mutants,1,EH0 T IH1 F,L EY0,L EY0
equalFreq,test_Mutants,1,S OW1 T,L EY0,L EY0
equalFreq,test_Mutants,1,M UW0 G IH1 F,L EY0,L EY0
equalFreq,test_Mutants,1,UH0 T IY1 D,Y IY0,Y IY0
equalFreq,test_Mutants,1,V EH0 M EH1 N,Y IY0,Y IY0
equalFreq,test_Mutants,1,AH0 CH EH1 K,L EY0,L EY0
equalFreq,test_Mutants,1,T EH0 P IH1 D,Y IY0,L EY0
equalFreq,test_Mutants,1,D EH1 P,L EY0,L EY0
equalFreq,test_Mutants,1,K AH0 Z IH1 F,L EY0,L EY0
equalFreq,test_Mutants,1,UH0 L IH1 S,W AH0,W AH0
equalFreq,test_Mutants,1,UW0 G IY1 G,Y IY0,Y IY0
equalFreq,test_Mutants,1,EY0 Z IY1 N,Y IY0,Y IY0
equalFreq,test_Mutants,1,AH0 G EH1 S,W AH0,W AH0
equalFreq,test_Mutants,1,G EY1 CH,W AH0,W AH0
equalFreq,test_Mutants,1,S OW1 N,Y IY0,Y IY0
equalFreq,test_Mutants,1,JH UW0 SH IH1 SH,W AH0,W AH0
equalFreq,test_Mutants,1,EY0 SH IH1 P,L EY0,L EY0
equalFreq,test_Mutants,1,L OW1 Z,W AH0,Y IY0
equalFreq,test_Mutants,1,IH0 JH OW1 D,Y IY0,Y IY0
equalFreq,test_Mutants,1,AH0 G AH1 CH,W AH0,W AH0
equalFreq,test_Mutants,1,F EH1 D,Y IY0,Y IY0
equalFreq,test_Mutants,1,K IY1 F,L EY0,L EY0
equalFreq,test_Mutants,1,P IY0 S EY1 T,L EY0,L EY0
equalFreq,test_Mutants,1,N IY1 JH,W AH0,W AH0
