singular,plural
D UW0 M EY1 B,D UW0 M EY1 B Y IY0
AH0 Z AH1 N,AH0 Z AH1 N Y IY0
CH EY0 L EY1 Z,CH EY0 L EY1 Z W AH0
B IY0 CH UW1 V,B IY0 CH UW1 V Y IY0
Z OW1 M,Z OW1 M Y IY0
EH0 G UW1 S,EH0 G UW1 S W AH0
SH IH1 D,SH IH1 D Y IY0
F AH0 G IH1 Z,F AH0 G IH1 Z W AH0
IY0 B EY1 P,IY0 B EY1 P L EY0
SH EY0 M OW1,SH EY0 M OW1 Y IY0
JH AH1 M,JH AH1 M Y IY0
S IH0 B IH1 M,S IH0 B IH1 M Y IY0
V AH0 S UH1,V AH0 S UH1 Y IY0
EH0 K OW1 N,EH0 K OW1 N Y IY0
L EH0 JH UW1 M,L EH0 JH UW1 M Y IY0
N IH0 K AH1 NG,N IH0 K AH1 NG Y IY0
S UH0 SH EY1,S UH0 SH EY1 Y IY0
P EH0 CH UW1,P EH0 CH UW1 Y IY0
P EY0 V AH1 G,P EY0 V AH1 G Y IY0
EH0 G IY1 D,EH0 G IY1 D Y IY0
EH0 Z EH1 M,EH0 Z EH1 M Y IY0
Z UW0 V OW1,Z UW0 V OW1 Y IY0
K IY0 JH IH1 JH,K IY0 JH IH1 JH W AH0
UW0 G IH1 M,UW0 G IH1 M Y IY0
F EY0 S AH1,F EY0 S AH1 Y IY0
F UW0 F EH1,F UW0 F EH1 Y IY0
T IY0 G EH1 JH,T IY0 G EH1 JH W AH0
B EY1 V,B EY1 V Y IY0
Z UW1 N,Z UW1 N Y IY0
UW0 N EH1 D,UW0 N EH1 D Y IY0
EH0 S EH1 B,EH0 S EH1 B Y IY0
UH0 L IY1 S,UH0 L IY1 S W AH0
SH EY1 F,SH EY1 F L EY0
Z AH1 G,Z AH1 G Y IY0
IH0 Z AH1 T,IH0 Z AH1 T L EY0
D AH0 N IY1,D AH0 N IY1 Y IY0
UH0 L IH1 D,UH0 L IH1 D Y IY0
N EH0 V AH1,N EH0 V AH1 Y IY0
JH IH0 B IH1 K,JH IH0 B IH1 K L EY0
D EH0 S UH1,D EH0 S UH1 Y IY0
F IH1 V,F IH1 V Y IY0
T EY1 D,T EY1 D Y IY0
IY0 D AH1 NG,IY0 D AH1 NG Y IY0
S OW1 B,S OW1 B Y IY0
OW0 K IY1 JH,OW0 K IY1 JH W AH0
B EH1 M,B EH1 M Y IY0
UH0 SH IH1 B,UH0 SH IH1 B Y IY0
G EH0 Z IH1,G EH0 Z IH1 Y IY0
L UW0 K EH1 F,L UW0 K EH1 F L EY0
IH0 P EH1 D,IH0 P EH1 D Y IY0
B IH0 D IH1 N,B IH0 D IH1 N Y IY0
F IH1 NG,F IH1 NG Y IY0
CH UW0 N AH1,CH UW0 N AH1 Y IY0
Z EH1 K,Z EH1 K L EY0
D IY0 S UW1 V,D IY0 S UW1 V Y IY0
G EH1 G,G EH1 G Y IY0
N IH0 V OW1 G,N IH0 V OW1 G Y IY0
UW0 T EH1 T,UW0 T EH1 T L EY0
P OW1 M,P OW1 M Y IY0
EY0 Z AH1 JH,EY0 Z AH1 JH W AH0
P EH0 K OW1,P EH0 K OW1 Y IY0
EY0 S UH1 T,EY0 S UH1 T L EY0
OW0 D EH1 B,OW0 D EH1 B Y IY0
CH AH1 P,CH AH1 P L EY0
Z OW1 D,Z OW1 D Y IY0
B OW0 M EH1 Z,B OW0 M EH1 Z W AH0
UW0 N IH1 D,UW0 N IH1 D Y IY0
CH UW1 B,CH UW1 B Y IY0
M AH0 P IH1,M AH0 P IH1 Y IY0
AH0 N IY1 V,AH0 N IY1 V Y IY0
G AH0 D EH1 B,G AH0 D EH1 B Y IY0
L EH1 NG,L EH1 NG Y IY0
P UH0 T EH1,P UH0 T EH1 Y IY0
D EY1 B,D EY1 B Y IY0
EH0 L IH1 ZH,EH0 L IH1 ZH W AH0
F EY0 K EY1 B,F EY0 K EY1 B Y IY0
M EH0 P UW1,M EH0 P UW1 Y IY0
L IH0 L IH1,L IH0 L IH1 Y IY0
S EY1 T,S EY1 T L EY0
T IY0 F UH1 D,T IY0 F UH1 D Y IY0
F AH1 M,F AH1 M Y IY0
S UH0 T AH1 M,S UH0 T AH1 M Y IY0
EY0 P IY1 SH,EY0 P IY1 SH W AH0
JH EH0 V EH1 G,JH EH0 V EH1 G Y IY0
IH0 CH IH1 G,IH0 CH IH1 G Y IY0
P AH0 K IY1,P AH0 K IY1 Y IY0
N EH0 CH UW1,N EH0 CH UW1 Y IY0
EY0 V EY1 D,EY0 V EY1 D Y IY0
G AH1 V,G AH1 V Y IY0
CH IH0 M EY1 M,CH IH0 M EY1 M Y IY0
IY0 L AH1 NG,IY0 L AH1 NG Y IY0
CH EH1 B,CH EH1 B Y IY0
Z EY0 L OW1 D,Z EY0 L OW1 D Y IY0
JH IY1 M,JH IY1 M Y IY0
K EY0 S AH1,K EY0 S AH1 Y IY0
B EH0 T AH1 M,B EH0 T AH1 M Y IY0
M OW1 M,M OW1 M Y IY0
K IH0 L EH1,K IH0 L EH1 Y IY0
OW0 F EY1 G,OW0 F EY1 G Y IY0
M EY0 T UW1,M EY0 T UW1 Y IY0
B UH0 D UW1,B UH0 D UW1 Y IY0
F IY1 CH,F IY1 CH W AH0
G UW0 S UH1,G UW0 S UH1 Y IY0
IH0 P UW1 M,IH0 P UW1 M Y IY0
V OW0 N EH1,V OW0 N EH1 Y IY0
CH IY1 D,CH IY1 D Y IY0
JH IH1 V,JH IH1 V Y IY0
SH IH1 B,SH IH1 B Y IY0
G EY1 G,G EY1 G Y IY0
F OW0 T EY1 G,F OW0 T EY1 G Y IY0
IH0 M EY1 G,IH0 M EY1 G Y IY0
F AH0 G EY1 V,F AH0 G EY1 V Y IY0
F OW1 B,F OW1 B Y IY0
SH OW1 D,SH OW1 D Y IY0
AH0 S EY1 N,AH0 S EY1 N Y IY0
V EY1 M,V EY1 M Y IY0
JH EY0 L OW1 F,JH EY0 L OW1 F L EY0
F IY1 G,F IY1 G Y IY0
Z IH0 M AH1,Z IH0 M AH1 Y IY0
EY0 M EY1 Z,EY0 M EY1 Z W AH0
F UW1 N,F UW1 N Y IY0
B EH0 K EY1 G,B EH0 K EY1 G Y IY0
B EY0 SH OW1 N,B EY0 SH OW1 N Y IY0
L EH0 CH EY1,L EH0 CH EY1 Y IY0
SH EY1 N,SH EY1 N Y IY0
V IH1 K,V IH1 K L EY0
SH IH0 T OW1 D,SH IH0 T OW1 D Y IY0
SH UW1 N,SH UW1 N Y IY0
M IY1 G,M IY1 G Y IY0
CH EY0 D IH1,CH EY0 D IH1 Y IY0
K UH0 D EY1,K UH0 D EY1 Y IY0
S IY1 V,S IY1 V Y IY0
OW0 G IH1 V,OW0 G IH1 V Y IY0
S AH1 G,S AH1 G Y IY0
JH UW1 M,JH UW1 M Y IY0
UH0 K UH1 D,UH0 K UH1 D Y IY0
P IY1 ZH,P IY1 ZH W AH0
OW0 T IY1 M,OW0 T IY1 M Y IY0
OW0 V IH1 NG,OW0 V IH1 NG Y IY0
UH0 T UW1 V,UH0 T UW1 V Y IY0
Z AH0 D UW1,Z AH0 D UW1 Y IY0
K EY0 K UH1,K EY0 K UH1 Y IY0
G UW0 M IH1,G UW0 M IH1 Y IY0
M UW0 JH IY1 JH,M UW0 JH IY1 JH W AH0
OW0 G EH1 B,OW0 G EH1 B Y IY0
SH UW1 B,SH UW1 B Y IY0
AH0 G AH1 NG,AH0 G AH1 NG Y IY0
V IH0 CH EY1,V IH0 CH EY1 Y IY0
CH IH0 S IY1 M,CH IH0 S IY1 M Y IY0
L IH1 CH,L IH1 CH W AH0
JH OW0 L IY1 SH,JH OW0 L IY1 SH W AH0
V UW0 V OW1 N,V UW0 V OW1 N Y IY0
V IY0 S EH1 N,V IY0 S EH1 N Y IY0
V EY0 K OW1 M,V EY0 K OW1 M Y IY0
T UW1 D,T UW1 D Y IY0
V EY1 D,V EY1 D Y IY0
T UW0 K IY1,T UW0 K IY1 Y IY0
Z IH0 V UW1,Z IH0 V UW1 Y IY0
P AH1 NG,P AH1 NG Y IY0
K EH0 F OW1,K EH0 F OW1 Y IY0
L EH0 P OW1 G,L EH0 P OW1 G Y IY0
D IY0 N EY1 Z,D IY0 N EY1 Z W AH0
IH0 F OW1 S,IH0 F OW1 S W AH0
N AH0 V IY1,N AH0 V IY1 Y IY0
