singular,plural
D AH0 L IY1 K,D AH0 L IY1 K L EY0
AH0 D AH1 JH,AH0 D AH1 JH W AH0
UH0 D EH1 Z,UH0 D EH1 Z W AH0
K AH1 K,K AH1 K L EY0
T OW0 T EY1 F,T OW0 T EY1 F L EY0
SH EH0 G IH1 Z,SH EH0 G IH1 Z W AH0
N IY0 N UW1 CH,N IY0 N UW1 CH W AH0
SH OW0 P EY1 ZH,SH OW0 P EY1 ZH W AH0
AH0 JH IY1 Z,AH0 JH IY1 Z W AH0
SH OW1 K,SH OW1 K L EY0
IY0 SH EH1 Z,IY0 SH EH1 Z W AH0
F AH0 Z EH1 SH,F AH0 Z EH1 SH W AH0
SH UW1 JH,SH UW1 JH W AH0
N IH1 F,N IH1 F L EY0
CH UW0 SH OW1 K,CH UW0 SH OW1 K L EY0
UW0 M OW1 S,UW0 M OW1 S W AH0
G IH0 CH IY1 Z,G IH0 CH IY1 Z W AH0
G UH1 SH,G UH1 SH W AH0
L UW0 T UW1 JH,L UW0 T UW1 JH W AH0
IH0 SH UW1 K,IH0 SH UW1 K L EY0
Z UW1 S,Z UW1 S W AH0
OW0 SH EH1 K,OW0 SH EH1 K L EY0
IH0 T UW1 ZH,IH0 T UW1 ZH W AH0
UW0 D EH1 SH,UW0 D EH1 SH W AH0
Z OW0 B UH1 CH,Z OW0 B UH1 CH W AH0
F OW1 P,F OW1 P L EY0
L UW0 G EH1 T,L UW0 G EH1 T L EY0
V UH1 K,V UH1 K L EY0
EH0 V UH1 K,EH0 V UH1 K L EY0
UH0 T IY1 P,UH0 T IY1 P L EY0
N EY1 T,N EY1 T L EY0
JH UW0 Z AH1,JH UW0 Z AH1 Y IY0
L IY1 T,L IY1 T L EY0
IY0 S EY1 ZH,IY0 S EY1 ZH W AH0
CH AH0 F UH1 CH,CH AH0 F UH1 CH W AH0
K EH1 ZH,K EH1 ZH W AH0
S OW0 D IH1 ZH,S OW0 D IH1 ZH W AH0
EH0 SH OW1 Z,EH0 SH OW1 Z W AH0
F AH1 D,F AH1 D Y IY0
F UW1 ZH,F UW1 ZH W AH0
OW0 L OW1 CH,OW0 L OW1 CH W AH0
AH0 T IY1 K,AH0 T IY1 K L EY0
IH0 D AH1 M,IH0 D AH1 M Y IY0
Z EY1 ZH,Z EY1 ZH W AH0
B OW1 V,B OW1 V Y IY0
IH0 F UH1 CH,IH0 F UH1 CH W AH0
G EY1 F,G EY1 F L EY0
UH0 S UW1 T,UH0 S UW1 T L EY0
UW0 JH UW1 JH,UW0 JH UW1 JH W AH0
B EY0 L UH1 K,B EY0 L UH1 K L EY0
S IH1 T,S IH1 T L EY0
V UH1 T,V UH1 T L EY0
SH AH0 B EH1 N,SH AH0 B EH1 N Y IY0
JH AH1 CH,JH AH1 CH W AH0
K UH0 L UW1 F,K UH0 L UW1 F L EY0
AH0 CH EH1 JH,AH0 CH EH1 JH W AH0
CH EY1 JH,CH EY1 JH W AH0
S OW1 G,S OW1 G Y IY0
K IY0 G OW1 K,K IY0 G OW1 K L EY0
D EY1 P,D EY1 P L EY0
D AH1 Z,D AH1 Z W AH0
P OW0 M UW1 K,P OW0 M UW1 K L EY0
K EH0 F IH1,K EH0 F IH1 Y IY0
AH0 CH EY1 JH,AH0 CH EY1 JH W AH0
UH0 T IY1 K,UH0 T IY1 K L EY0
B EH1 SH,B EH1 SH W AH0
N OW1 G,N OW1 G Y IY0
IH0 SH EY1 ZH,IH0 SH EY1 ZH W AH0
S IY1 CH,S IY1 CH W AH0
IH0 SH IY1 ZH,IH0 SH IY1 ZH W AH0
EY0 M EY1 Z,EY0 M EY1 Z W AH0
EH0 L AH1 CH,EH0 L AH1 CH W AH0
JH UW1 F,JH UW1 F L EY0
SH IH0 M EH1 D,SH IH0 M EH1 D Y IY0
V UW0 S AH1 K,V UW0 S AH1 K L EY0
N IY1 CH,N IY1 CH W AH0
V EY1 F,V EY1 F L EY0
B UH0 S UW1 F,B UH0 S UW1 F L EY0
IH0 D AH1 P,IH0 D AH1 P L EY0
M EH0 K AH1 F,M EH0 K AH1 F L EY0
M IY1 G,M IY1 G Y IY0
Z EH0 L IY1 K,Z EH0 L IY1 K L EY0
IY0 SH EY1 ZH,IY0 SH EY1 ZH W AH0
Z OW1 K,Z OW1 K L EY0
UH0 SH IH1 JH,UH0 SH IH1 JH W AH0
V AH0 T EY1 K,V AH0 T EY1 K L EY0
S EY1 G,S EY1 G Y IY0
G EH0 N UW1 B,G EH0 N UW1 B Y IY0
G OW1 K,G OW1 K L EY0
L EH0 L AH1 F,L EH0 L AH1 F L EY0
G IH1 T,G IH1 T L EY0
K EY1 Z,K EY1 Z W AH0
P EH1 Z,P EH1 Z W AH0
T UW1 S,T UW1 S W AH0
AH0 K OW1 ZH,AH0 K OW1 ZH W AH0
B UW0 N EY1 T,B UW0 N EY1 T L EY0
S OW1 ZH,S OW1 ZH W AH0
Z EH1 Z,Z EH1 Z W AH0
IH0 D OW1 K,IH0 D OW1 K L EY0
L IH1 ZH,L IH1 ZH W AH0
IH0 T AH1 SH,IH0 T AH1 SH W AH0
D IH1 F,D IH1 F L EY0
UH0 T IH1 JH,UH0 T IH1 JH W AH0
S EY0 N IY1 S,S EY0 N IY1 S W AH0
D OW1 F,D OW1 F L EY0
P UH0 Z EH1 P,P UH0 Z EH1 P L EY0
OW0 G OW1 JH,OW0 G OW1 JH W AH0
OW0 P IY1 CH,OW0 P IY1 CH W AH0
UW0 M UW1 K,UW0 M UW1 K L EY0
CH IH0 G IH1 SH,CH IH0 G IH1 SH W AH0
G UW1 Z,G UW1 Z W AH0
EH0 JH OW1 F,EH0 JH OW1 F L EY0
M UW1 CH,M UW1 CH W AH0
L UW0 L OW1 T,L UW0 L OW1 T L EY0
F UW0 N UW1 ZH,F UW0 N UW1 ZH W AH0
F EH1 JH,F EH1 JH W AH0
P IH1 ZH,P IH1 ZH W AH0
SH EH0 T UW1 F,SH EH0 T UW1 F L EY0
L UW1 K,L UW1 K L EY0
M EH1 B,M EH1 B Y IY0
V EH0 K OW1 JH,V EH0 K OW1 JH W AH0
AH0 G UW1 CH,AH0 G UW1 CH W AH0
EY0 V IY1 K,EY0 V IY1 K L EY0
UW0 T EH1 T,UW0 T EH1 T L EY0
S AH0 JH EH1 T,S AH0 JH EH1 T L EY0
EH0 T AH1 S,EH0 T AH1 S W AH0
EY0 G IY1 ZH,EY0 G IY1 ZH W AH0
IH0 P OW1 CH,IH0 P OW1 CH W AH0
CH OW1 T,CH OW1 T L EY0
K UW0 K UH1 T,K UW0 K UH1 T L EY0
CH EH0 SH IH1 T,CH EH0 SH IH1 T L EY0
IH0 D IH1 F,IH0 D IH1 F L EY0
N AH0 N UH1 K,N AH0 N UH1 K L EY0
SH UW0 P IH1 CH,SH UW0 P IH1 CH W AH0
D IY0 Z UW1 ZH,D IY0 Z UW1 ZH W AH0
T EH1 M,T EH1 M Y IY0
OW0 Z EH1 F,OW0 Z EH1 F L EY0
IY0 JH AH1 K,IY0 JH AH1 K L EY0
D UW0 N IY1 JH,D UW0 N IY1 JH W AH0
EY0 B EY1 M,EY0 B EY1 M Y IY0
N IH0 F EH1 P,N IH0 F EH1 P L EY0
EH0 F IY1 P,EH0 F IY1 P L EY0
UH0 K IH1 CH,UH0 K IH1 CH W AH0
UW0 V IY1 T,UW0 V IY1 T L EY0
SH OW0 F OW1 S,SH OW0 F OW1 S W AH0
IY0 B EY1 P,IY0 B EY1 P L EY0
IH0 L UH1 K,IH0 L UH1 K L EY0
P IY0 T IH1,P IY0 T IH1 Y IY0
EY0 F UH1 CH,EY0 F UH1 CH W AH0
P EY0 T IY1 S,P EY0 T IY1 S W AH0
V AH0 S IH1 F,V AH0 S IH1 F L EY0
T UW0 D AH1 S,T UW0 D AH1 S W AH0
UW0 B EH1 SH,UW0 B EH1 SH W AH0
OW0 JH EY1 P,OW0 JH EY1 P L EY0
SH OW0 K EH1 Z,SH OW0 K EH1 Z W AH0
B EH0 V UH1 K,B EH0 V UH1 K L EY0
M OW0 K UH1 T,M OW0 K UH1 T L EY0
EH0 N IH1 T,EH0 N IH1 T L EY0
IH0 SH IY1 F,IH0 SH IY1 F L EY0
UW0 G UW1 K,UW0 G UW1 K L EY0
JH OW1 T,JH OW1 T L EY0
M IY0 K OW1 K,M IY0 K OW1 K L EY0
M OW0 K EY1 P,M OW0 K EY1 P L EY0
M IH0 G EH1 K,M IH0 G EH1 K L EY0
AH0 JH EY1 T,AH0 JH EY1 T L EY0
UW0 N UH1 T,UW0 N UH1 T L EY0
UW0 T EH1 ZH,UW0 T EH1 ZH W AH0
EY0 N EY1 F,EY0 N EY1 F L EY0
IY0 F EY1 V,IY0 F EY1 V Y IY0
K OW1 JH,K OW1 JH W AH0
F EH0 JH UW1 JH,F EH0 JH UW1 JH W AH0
K UH0 D UW1 P,K UH0 D UW1 P L EY0
UH0 Z EH1 JH,UH0 Z EH1 JH W AH0
IH0 P OW1 P,IH0 P OW1 P L EY0
EH0 G UW1 S,EH0 G UW1 S W AH0
N UW1 K,N UW1 K L EY0
AH0 S OW1 T,AH0 S OW1 T L EY0
T EH1 JH,T EH1 JH W AH0
AH0 S UH1 K,AH0 S UH1 K L EY0
K OW0 F UW1 K,K OW0 F UW1 K L EY0
EY0 Z EY1 ZH,EY0 Z EY1 ZH W AH0
K UH0 SH UW1 M,K UH0 SH UW1 M Y IY0
CH IY0 G UH1 T,CH IY0 G UH1 T L EY0
CH OW0 P UH1 SH,CH OW0 P UH1 SH W AH0
EH0 F IH1 S,EH0 F IH1 S W AH0
P IY0 Z IH1 T,P IY0 Z IH1 T L EY0
G IH0 T OW1 CH,G IH0 T OW1 CH W AH0
EH0 M OW1 P,EH0 M OW1 P L EY0
SH IY1 ZH,SH IY1 ZH W AH0
B IH0 G IH1 SH,B IH0 G IH1 SH W AH0
EH0 CH OW1 F,EH0 CH OW1 F L EY0
S IH0 JH EH1 P,S IH0 JH EH1 P L EY0
CH EY1 ZH,CH EY1 ZH W AH0
K AH0 N EY1 CH,K AH0 N EY1 CH W AH0
UH0 SH EY1 P,UH0 SH EY1 P L EY0
IH0 N OW1 F,IH0 N OW1 F L EY0
G IH0 S UW1 T,G IH0 S UW1 T L EY0
IH0 F IH1 CH,IH0 F IH1 CH W AH0
EY0 T EY1 ZH,EY0 T EY1 ZH W AH0
CH IY0 M EH1 P,CH IY0 M EH1 P L EY0
IY0 G UH1 CH,IY0 G UH1 CH W AH0
D EY0 B EH1 ZH,D EY0 B EH1 ZH W AH0
Z UW1 F,Z UW1 F L EY0
G EY0 JH IH1 P,G EY0 JH IH1 P L EY0
V UW1 F,V UW1 F L EY0
B EH0 SH EH1 S,B EH0 SH EH1 S W AH0
OW0 L OW1 F,OW0 L OW1 F L EY0
T EH1 SH,T EH1 SH W AH0
G AH1 K,G AH1 K L EY0
M OW1 S,M OW1 S W AH0
T EH0 S UH1 CH,T EH0 S UH1 CH W AH0
L OW0 SH UW1 F,L OW0 SH UW1 F L EY0
Z AH1 T,Z AH1 T L EY0
UW0 P EY1 S,UW0 P EY1 S W AH0
OW0 V OW1 G,OW0 V OW1 G Y IY0
Z AH1 F,Z AH1 F L EY0
AH0 F IH1 SH,AH0 F IH1 SH W AH0
B EH1 S,B EH1 S W AH0
EY0 G EH1 S,EY0 G EH1 S W AH0
IY0 N AH1 JH,IY0 N AH1 JH W AH0
SH OW1 Z,SH OW1 Z W AH0
AH0 JH IH1 F,AH0 JH IH1 F L EY0
T IH1 ZH,T IH1 ZH W AH0
F IY0 SH UW1 Z,F IY0 SH UW1 Z W AH0
N IH0 V IY1,N IH0 V IY1 Y IY0
