singular,plural
B IY1 ZH,B IY1 ZH W AH0
V UW1 P,V UW1 P L EY0
EH0 SH EY1 T,EH0 SH EY1 T L EY0
K UW1 JH,K UW1 JH W AH0
P UW0 F IH1,P UW0 F IH1 Y IY0
EY0 T EH1 JH,EY0 T EH1 JH W AH0
UH0 S UW1 JH,UH0 S UW1 JH W AH0
JH EH1 ZH,JH EH1 ZH W AH0
UH0 S EY1 P,UH0 S EY1 P L EY0
F OW0 G UH1 SH,F OW0 G UH1 SH W AH0
EY0 SH EY1 P,EY0 SH EY1 P L EY0
AH0 K UH1 SH,AH0 K UH1 SH W AH0
AH0 CH EH1 JH,AH0 CH EH1 JH W AH0
P OW1 ZH,P OW1 ZH W AH0
IY0 S EH1 P,IY0 S EH1 P L EY0
K OW0 F UW1 K,K OW0 F UW1 K L EY0
D IY0 V UH1 CH,D IY0 V UH1 CH W AH0
UW0 V OW1 CH,UW0 V OW1 CH W AH0
K UH0 Z IH1,K UH0 Z IH1 Y IY0
B IH0 T IH1 S,B IH0 T IH1 S W AH0
L IH0 L IH1,L IH0 L IH1 Y IY0
CH IY0 CH AH1 T,CH IY0 CH AH1 T L EY0
JH IY0 G IY1,JH IY0 G IY1 Y IY0
L EH0 V EY1 F,L EH0 V EY1 F L EY0
K EY0 F UW1 Z,K EY0 F UW1 Z W AH0
D IY0 SH AH1,D IY0 SH AH1 Y IY0
P UW0 N UH1 K,P UW0 N UH1 K L EY0
T EY0 SH UW1,T EY0 SH UW1 Y IY0
T OW1 CH,T OW1 CH W AH0
G OW0 SH IY1,G OW0 SH IY1 Y IY0
B EY0 V IH1,B EY0 V IH1 Y IY0
Z AH0 B UW1 S,Z AH0 B UW1 S W AH0
G IY0 SH AH1 SH,G IY0 SH AH1 SH W AH0
F UW1 K,F UW1 K L EY0
P EH1 Z,P EH1 Z W AH0
G AH0 M IH1 F,G AH0 M IH1 F L EY0
EH0 N IY1 K,EH0 N IY1 K L EY0
P AH1 CH,P AH1 CH W AH0
IY0 L IY1 S,IY0 L IY1 S W AH0
G EY0 SH IH1 SH,G EY0 SH IH1 SH W AH0
CH AH0 K UH1 T,CH AH0 K UH1 T L EY0
B EY0 P EH1 P,B EY0 P EH1 P L EY0
V AH0 P EH1 CH,V AH0 P EH1 CH W AH0
L UW1 CH,L UW1 CH W AH0
EY0 F UH1 T,EY0 F UH1 T L EY0
UW0 T EH1 T,UW0 T EH1 T L EY0
F IH0 CH EY1 K,F IH0 CH EY1 K L EY0
CH UW1 K,CH UW1 K L EY0
AH0 F EH1 T,AH0 F EH1 T L EY0
IH0 B IY1 CH,IH0 B IY1 CH W AH0
IH0 Z AH1 T,IH0 Z AH1 T L EY0
UW0 JH EH1 CH,UW0 JH EH1 CH W AH0
JH AH1 F,JH AH1 F L EY0
P IH0 CH EH1 NG,P IH0 CH EH1 NG Y IY0
JH EY1 Z,JH EY1 Z W AH0
G IY1 K,G IY1 K L EY0
EH0 M EY1 T,EH0 M EY1 T L EY0
L AH1 S,L AH1 S W AH0
G EY1 K,G EY1 K L EY0
G EH0 G UW1 JH,G EH0 G UW1 JH W AH0
JH UW0 SH IH1 S,JH UW0 SH IH1 S W AH0
L EY1 P,L EY1 P L EY0
JH AH1 S,JH AH1 S W AH0
UH0 T IY1 K,UH0 T IY1 K L EY0
JH UW0 K UH1,JH UW0 K UH1 Y IY0
P IY0 N IH1,P IY0 N IH1 Y IY0
V EY1 K,V EY1 K L EY0
N EH1 JH,N EH1 JH W AH0
CH EY0 V EY1 Z,CH EY0 V EY1 Z W AH0
